,Product_ID,Product_Name
29,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"
66,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray"
70,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets
128,FUR-CH-10001146,"Global Task Chair, Black"
131,OFF-PA-10002377,Xerox 1916
132,OFF-FA-10002780,Staples
135,OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box"
171,OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6� x 11�"
223,TEC-MA-10001148,Swingline SM12-08 MicroCut Jam Free Shredder
234,FUR-FU-10004017,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49"""
235,TEC-AC-10003832,Logitech�P710e Mobile Speakerphone
253,OFF-ST-10001228,"Fellowes Personal Hanging Folder Files, Navy"
294,FUR-FU-10004091,"Howard Miller 13"" Diameter Goldtone Round Wall Clock"
351,OFF-PA-10001970,Xerox 1881
412,OFF-PA-10001970,Xerox 1908
500,FUR-FU-10004864,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock"
507,OFF-PA-10000357,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11"
511,OFF-ST-10001228,Personal File Boxes with Fold-Down Carry Handle
525,TEC-AC-10003832,Imation�16GB Mini TravelDrive USB 2.0�Flash Drive
672,OFF-PA-10002377,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages"
680,OFF-BI-10004632,Ibico Hi-Tech Manual Binding System
792,TEC-PH-10001530,Cisco Unified IP Phone 7945G VoIP phone
802,OFF-AP-10000576,Belkin 7 Outlet SurgeMaster II
806,TEC-PH-10001795,ClearOne CHATAttach 160 -�speaker phone
877,TEC-AC-10002049,Logitech G19 Programmable Gaming Keyboard
922,TEC-PH-10004531,OtterBox Commuter Series Case - iPhone 5 & 5s
932,OFF-PA-10002195,"RSVP Cards & Envelopes, Blank White, 8-1/2"" X 11"", 24 Cards/25 Envelopes/Set"
995,TEC-PH-10001530,Plantronics Voyager Pro Legend
1020,OFF-FA-10002780,Staples in misc. colors
1025,OFF-PA-10001166,Xerox 2
1160,OFF-AP-10000576,"Belkin 325VA UPS Surge Protector, 6'"
1219,TEC-PH-10002200,Samsung Galaxy Note 2
1282,OFF-BI-10002026,Avery Arch Ring Binders
1297,OFF-BI-10004632,GBC Binding covers
1378,TEC-PH-10002310,Panasonic KX T7731-B Digital phone
1385,FUR-FU-10004091,"Eldon 200 Class Desk Accessories, Black"
1459,FUR-FU-10001473,DAX Wood Document Frame
1473,FUR-FU-10004270,"Eldon Image Series Desk Accessories, Burgundy"
1496,OFF-ST-10004950,Acco Perma 3000 Stacking Storage Drawers
1625,TEC-AC-10002049,Plantronics Savi W720 Multi-Device Wireless Headset System
2062,OFF-PA-10000477,Xerox 1952
2103,OFF-PA-10000357,Xerox 1888
2115,FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases
2204,FUR-FU-10001473,"Eldon Executive Woodline II Desk Accessories, Mahogany"
2251,OFF-PA-10000477,Xerox 22
2346,OFF-PA-10000659,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page"
2381,FUR-FU-10004848,DAX Solid Wood Frames
2471,FUR-BO-10002213,"Sauder Forest Hills Library, Woodland Oak Finish"
2525,TEC-AC-10002550,Maxell 4.7GB DVD-RW 3/Pack
2596,TEC-PH-10002310,Plantronics Calisto P620-M USB Wireless Speakerphone System
2645,FUR-FU-10004270,"Executive Impressions 13"" Clairmont Wall Clock"
2715,TEC-PH-10004531,AT&T CL2909
2994,OFF-BI-10004654,VariCap6 Expandable Binder
3126,TEC-PH-10002200,Aastra 6757i CT Wireless VoIP phone
3377,OFF-ST-10004950,"Tenex Personal Filing Tote With Secure Closure Lid, Black/Frost"
3570,TEC-MA-10001148,Okidata MB491 Multifunction Printer
3583,OFF-AR-10001149,"Avery Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink"
3640,TEC-AC-10002550,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 30/Pack"
3646,OFF-PA-10002195,Xerox 1966
3831,FUR-FU-10004017,"Executive Impressions 13"" Chairman Wall Clock"
4463,OFF-PA-10003022,Xerox 1992
4792,OFF-PA-10001166,Xerox 1932
5317,FUR-FU-10004864,Eldon 500 Class Desk Accessories
5407,OFF-PA-10003022,Standard Line �While You Were Out� Hardbound Telephone Message Book
5513,TEC-PH-10001795,RCA H5401RE1 DECT 6.0 4-Line Cordless Handset With Caller ID/Call Waiting
5951,OFF-BI-10002026,Ibico Recycled Linen-Style Covers
